"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "Markdown", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\stats.tsx", "TypeScript JSX", 0, 0, 2089, 0, 0, 0, 0, 0, 705, 207, 3001
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\thanks.tsx", "TypeScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 20, 6, 101
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\time-picker-demo.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 12, 5, 68
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\time-picker-input.tsx", "TypeScript JSX", 0, 0, 110, 0, 0, 0, 0, 0, 8, 14, 132
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\time-picker-utils.tsx", "TypeScript JSX", 0, 0, 160, 0, 0, 0, 0, 0, 19, 25, 204
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\top-area.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 7, 3, 50
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\validation.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 341, 44, 412
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\voting-core.tsx", "TypeScript JSX", 0, 0, 760, 0, 0, 0, 0, 0, 215, 79, 1054
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 127, 0, 0, 0, 0, 0, 0, 15, 142
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\button\index.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 0, 9, 80
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 327, 0, 0, 0, 0, 0, 2, 37, 366
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\datetime-picker.tsx", "TypeScript JSX", 0, 0, 386, 0, 0, 0, 0, 0, 5, 36, 427
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 14, 123
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\range-calendar\index.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 1, 2, 31
