"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "CSS", "XML", "TypeScript JSX", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\thanks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\SortableItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 13, 118
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\SortableList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\AnimatedBackground.module.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 1, 7, 43
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\admin-option.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 537, 0, 0, 26, 46, 609
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\animated-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 1, 13, 104
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\bottom-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 13, 3, 46
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\error-incognito.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 52, 10, 129
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\error-loc-request.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 32, 10, 214
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\error-vote.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 236, 0, 0, 67, 28, 331
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\loc-request.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 17, 9, 113
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\markdown-renderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 1, 4, 14
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1226, 0, 0, 159, 125, 1510
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2080, 0, 0, 704, 206, 2990
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\thanks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 50, 9, 118
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\time-picker-demo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 12, 5, 68
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\time-picker-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 8, 14, 132
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\time-picker-utils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 19, 25, 204
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\top-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 17, 5, 173
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\validation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 341, 44, 412
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\voting-core.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 951, 0, 0, 272, 104, 1327
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 15, 142
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\button\index.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 6, 67
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 327, 0, 0, 2, 37, 366
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\datetime-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 386, 0, 0, 5, 36, 427
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 14, 123
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\range-calendar\index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 1, 2, 31
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 14, 131
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\use-toast.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\middleware.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 2, 8, 78
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\tailwind.config.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 12, 4, 50
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"Total", "-", 1003, 30, 23, 468, 89, 8772, 10401, 8, 2175, 1406, 24375
